NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5459,1.4541,72.71
1,ECG,2.0,0.5604,1.4396,71.98
2,ECG,2.0,0.5521,1.4479,72.39
3,ECG,2.0,0.5494,1.4506,72.53
4,ECG,2.0,0.5593,1.4407,72.03
5,ECG,2.0,0.5593,1.4407,72.03
6,ECG,2.0,0.5525,1.4475,72.38
7,ECG,2.0,0.5599,1.4401,72.00
8,ECG,2.0,0.5596,1.4404,72.02
9,ECG,2.0,0.5406,1.4594,72.97
10,ECG,2.0,0.5539,1.4461,72.31
11,ECG,2.0,0.5467,1.4533,72.66
12,ECG,2.0,0.5594,1.4406,72.03
13,ECG,2.0,0.5612,1.4388,71.94
14,ECG,2.0,0.5463,1.4537,72.68
15,ECG,2.0,0.5420,1.4580,72.90
16,ECG,2.0,0.5549,1.4451,72.25
17,ECG,2.0,0.5499,1.4501,72.51
18,ECG,2.0,0.5534,1.4466,72.33
19,ECG,2.0,0.5517,1.4483,72.41
20,ECG,2.0,0.5490,1.4510,72.55
21,ECG,2.0,0.5447,1.4553,72.76
22,ECG,2.0,0.5476,1.4524,72.62
23,ECG,2.0,0.5602,1.4398,71.99
24,ECG,2.0,0.5536,1.4464,72.32
25,ECG,2.0,0.5613,1.4387,71.94
26,ECG,2.0,0.5623,1.4377,71.89
27,ECG,2.0,0.5571,1.4429,72.15
28,ECG,2.0,0.5615,1.4385,71.92
29,ECG,2.0,0.5615,1.4385,71.92
30,ECG,2.0,0.5441,1.4559,72.80
31,ECG,2.0,0.5615,1.4385,71.93
32,ECG,2.0,0.5433,1.4567,72.84
33,ECG,2.0,0.5584,1.4416,72.08
34,ECG,2.0,0.5512,1.4488,72.44
35,ECG,2.0,0.5579,1.4421,72.11
36,ECG,2.0,0.5484,1.4516,72.58
37,ECG,2.0,0.5460,1.4540,72.70
38,ECG,2.0,0.5489,1.4511,72.56
39,ECG,2.0,0.5469,1.4531,72.66
40,ECG,2.0,0.5427,1.4573,72.87
41,ECG,2.0,0.5498,1.4502,72.51
42,ECG,2.0,0.5576,1.4424,72.12
43,ECG,2.0,0.5530,1.4470,72.35
44,ECG,2.0,0.5606,1.4394,71.97
45,ECG,2.0,0.5449,1.4551,72.75
46,ECG,2.0,0.5624,1.4376,71.88
47,ECG,2.0,0.5475,1.4525,72.63
48,ECG,2.0,0.5587,1.4413,72.06
49,ECG,2.0,0.5474,1.4526,72.63
50,ECG,2.0,0.5474,1.4526,72.63
51,ECG,2.0,0.5561,1.4439,72.19
52,ECG,2.0,0.5481,1.4519,72.59
53,ECG,2.0,0.5495,1.4505,72.52
54,ECG,2.0,0.5558,1.4442,72.21
55,ECG,2.0,0.5477,1.4523,72.62
56,ECG,2.0,0.5469,1.4531,72.66
57,ECG,2.0,0.5623,1.4377,71.88
58,ECG,2.0,0.5558,1.4442,72.21
59,ECG,2.0,0.5431,1.4569,72.85
60,ECG,2.0,0.5602,1.4398,71.99
61,ECG,2.0,0.5568,1.4432,72.16
