NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
116,HR,2.0,0.5571,1.4429,72.15
117,HR,2.0,0.5497,1.4503,72.51
118,HR,2.0,0.5518,1.4482,72.41
119,HR,2.0,0.5499,1.4501,72.51
120,HR,2.0,0.5537,1.4463,72.31
121,HR,2.0,0.5616,1.4384,71.92
122,HR,2.0,0.5411,1.4589,72.95
123,HR,2.0,0.5542,1.4458,72.29
124,HR,2.0,0.5622,1.4378,71.89
125,HR,2.0,0.5462,1.4538,72.69
126,HR,2.0,0.5609,1.4391,71.95
127,HR,2.0,0.5519,1.4481,72.40
128,HR,2.0,0.5526,1.4474,72.37
129,HR,2.0,0.5494,1.4506,72.53
130,HR,2.0,0.5474,1.4526,72.63
131,HR,2.0,0.5587,1.4413,72.07
132,HR,2.0,0.5416,1.4584,72.92
133,Temp,2.0,0.5455,1.4545,72.73
134,Temp,2.0,0.5449,1.4551,72.75
135,Temp,2.0,0.5594,1.4406,72.03
136,Temp,2.0,0.5465,1.4535,72.68
137,Temp,2.0,0.5518,1.4482,72.41
138,Temp,2.0,0.5477,1.4523,72.62
139,Temp,2.0,0.5482,1.4518,72.59
140,Temp,2.0,0.5589,1.4411,72.05
141,Temp,2.0,0.5458,1.4542,72.71
142,Temp,2.0,0.5584,1.4416,72.08
143,Temp,2.0,0.5620,1.4380,71.90
144,Temp,2.0,0.5534,1.4466,72.33
145,Temp,2.0,0.5595,1.4405,72.02
146,Temp,2.0,0.5473,1.4527,72.64
147,Temp,2.0,0.5445,1.4555,72.77
148,Temp,2.0,0.5494,1.4506,72.53
149,Temp,2.0,0.5448,1.4552,72.76
150,Temp,2.0,0.5471,1.4529,72.65
151,Temp,2.0,0.5448,1.4552,72.76
152,Temp,2.0,0.5465,1.4535,72.67
153,Temp,2.0,0.5447,1.4553,72.76
154,Temp,2.0,0.5642,1.4358,71.79
155,Temp,2.0,0.5558,1.4442,72.21
156,Temp,2.0,0.5601,1.4399,71.99
157,Temp,2.0,0.5505,1.4495,72.48
158,Temp,2.0,0.5607,1.4393,71.97
159,Temp,2.0,0.5568,1.4432,72.16
160,Temp,2.0,0.5427,1.4573,72.87
161,Temp,2.0,0.5494,1.4506,72.53
162,Temp,2.0,0.5430,1.4570,72.85
163,Temp,2.0,0.5512,1.4488,72.44
164,Temp,2.0,0.5584,1.4416,72.08
165,Temp,2.0,0.5610,1.4390,71.95
166,Temp,2.0,0.5577,1.4423,72.11
167,Temp,2.0,0.5621,1.4379,71.89
168,Temp,2.0,0.5504,1.4496,72.48
169,Temp,2.0,0.5489,1.4511,72.55
170,Temp,2.0,0.5463,1.4537,72.68
171,Temp,2.0,0.5486,1.4514,72.57
172,Temp,2.0,0.5516,1.4484,72.42
173,Temp,2.0,0.5437,1.4563,72.81
174,Temp,2.0,0.5609,1.4391,71.96
175,Temp,2.0,0.5597,1.4403,72.02
176,Temp,2.0,0.5526,1.4474,72.37
177,Temp,2.0,0.5420,1.4580,72.90
178,Temp,2.0,0.5414,1.4586,72.93
179,Temp,2.0,0.5622,1.4378,71.89
180,Temp,2.0,0.5463,1.4537,72.68
181,Temp,2.0,0.5583,1.4417,72.09
182,Temp,2.0,0.5502,1.4498,72.49
183,Temp,2.0,0.5472,1.4528,72.64
184,Temp,2.0,0.5614,1.4386,71.93
185,Temp,2.0,0.5597,1.4403,72.02
186,Temp,2.0,0.5422,1.4578,72.89
187,Temp,2.0,0.5617,1.4383,71.92
188,Temp,2.0,0.5482,1.4518,72.59
189,Temp,2.0,0.5426,1.4574,72.87
190,Temp,2.0,0.5458,1.4542,72.71
191,Temp,2.0,0.5544,1.4456,72.28
192,Temp,2.0,0.5548,1.4452,72.26
193,Temp,2.0,0.5606,1.4394,71.97
194,Temp,2.0,0.5426,1.4574,72.87
195,Temp,2.0,0.5452,1.4548,72.74
196,Temp,2.0,0.5556,1.4444,72.22
197,Temp,2.0,0.5465,1.4535,72.68
198,Temp,2.0,0.5635,1.4365,71.82
199,Temp,2.0,0.5506,1.4494,72.47
200,CH,5.0,1.4042,3.5958,71.92
201,CH,5.0,1.4104,3.5896,71.79
202,CH,5.0,1.3932,3.6068,72.14
203,CH,5.0,1.4069,3.5931,71.86
204,CH,5.0,1.3933,3.6067,72.13
205,CH,5.0,1.3972,3.6028,72.06
206,CH,5.0,1.4050,3.5950,71.90
207,CH,5.0,1.3940,3.6060,72.12
208,CH,5.0,1.3960,3.6040,72.08
209,CH,5.0,1.4086,3.5914,71.83
210,CH,5.0,1.4069,3.5931,71.86
211,CH,5.0,1.3938,3.6062,72.12
212,CH,5.0,1.3896,3.6104,72.21
213,CH,5.0,1.3939,3.6061,72.12
214,CH,5.0,1.3988,3.6012,72.02
215,CH,5.0,1.3991,3.6009,72.02
216,CH,5.0,1.4086,3.5914,71.83
217,CH,5.0,1.4010,3.5990,71.98
218,CH,5.0,1.4002,3.5998,72.00
219,CH,5.0,1.4040,3.5960,71.92
