NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5599,1.4401,72.01
1,ECG,2.0,0.5613,1.4387,71.94
2,ECG,2.0,0.5504,1.4496,72.48
3,ECG,2.0,0.5477,1.4523,72.61
4,ECG,2.0,0.5473,1.4527,72.64
5,ECG,2.0,0.5472,1.4528,72.64
6,ECG,2.0,0.5573,1.4427,72.14
7,ECG,2.0,0.5603,1.4397,71.99
8,ECG,2.0,0.5547,1.4453,72.26
9,ECG,2.0,0.5484,1.4516,72.58
10,ECG,2.0,0.5523,1.4477,72.39
11,ECG,2.0,0.5610,1.4390,71.95
12,ECG,2.0,0.5614,1.4386,71.93
13,ECG,2.0,0.5554,1.4446,72.23
14,ECG,2.0,0.5529,1.4471,72.36
15,ECG,2.0,0.5474,1.4526,72.63
16,ECG,2.0,0.5633,1.4367,71.84
17,ECG,2.0,0.5632,1.4368,71.84
18,ECG,2.0,0.5585,1.4415,72.07
19,ECG,2.0,0.5502,1.4498,72.49
20,ECG,2.0,0.5615,1.4385,71.93
21,ECG,2.0,0.5488,1.4512,72.56
22,ECG,2.0,0.5548,1.4452,72.26
23,ECG,2.0,0.5413,1.4587,72.93
24,ECG,2.0,0.5633,1.4367,71.84
25,ECG,2.0,0.5435,1.4565,72.82
26,ECG,2.0,0.5529,1.4471,72.35
27,ECG,2.0,0.5503,1.4497,72.49
28,ECG,2.0,0.5490,1.4510,72.55
29,ECG,2.0,0.5538,1.4462,72.31
30,ECG,2.0,0.5561,1.4439,72.20
31,ECG,2.0,0.5452,1.4548,72.74
32,ECG,2.0,0.5548,1.4452,72.26
33,ECG,2.0,0.5583,1.4417,72.09
34,ECG,2.0,0.5609,1.4391,71.96
35,ECG,2.0,0.5490,1.4510,72.55
36,ECG,2.0,0.5460,1.4540,72.70
37,ECG,2.0,0.5469,1.4531,72.65
38,ECG,2.0,0.5441,1.4559,72.80
39,ECG,2.0,0.5589,1.4411,72.06
40,ECG,2.0,0.5579,1.4421,72.10
41,ECG,2.0,0.5554,1.4446,72.23
42,ECG,2.0,0.5515,1.4485,72.42
43,ECG,2.0,0.5480,1.4520,72.60
44,ECG,2.0,0.5626,1.4374,71.87
45,ECG,2.0,0.5516,1.4484,72.42
46,ECG,2.0,0.5526,1.4474,72.37
47,ECG,2.0,0.5612,1.4388,71.94
48,ECG,2.0,0.5552,1.4448,72.24
49,ECG,2.0,0.5569,1.4431,72.15
50,ECG,2.0,0.5415,1.4585,72.93
51,ECG,2.0,0.5467,1.4533,72.67
52,ECG,2.0,0.5635,1.4365,71.82
53,ECG,2.0,0.5615,1.4385,71.92
54,ECG,2.0,0.5618,1.4382,71.91
55,ECG,2.0,0.5455,1.4545,72.72
56,ECG,2.0,0.5460,1.4540,72.70
57,ECG,2.0,0.5650,1.4350,71.75
58,ECG,2.0,0.5624,1.4376,71.88
