NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5485,1.4515,72.58
1,ECG,2.0,0.5479,1.4521,72.60
2,ECG,2.0,0.5428,1.4572,72.86
3,ECG,2.0,0.5598,1.4402,72.01
4,ECG,2.0,0.5558,1.4442,72.21
5,ECG,2.0,0.5552,1.4448,72.24
6,ECG,2.0,0.5596,1.4404,72.02
7,ECG,2.0,0.5588,1.4412,72.06
8,ECG,2.0,0.5542,1.4458,72.29
9,ECG,2.0,0.5627,1.4373,71.87
10,ECG,2.0,0.5437,1.4563,72.81
11,ECG,2.0,0.5522,1.4478,72.39
12,ECG,2.0,0.5468,1.4532,72.66
13,ECG,2.0,0.5540,1.4460,72.30
14,ECG,2.0,0.5551,1.4449,72.25
15,ECG,2.0,0.5592,1.4408,72.04
16,ECG,2.0,0.5571,1.4429,72.15
17,ECG,2.0,0.5507,1.4493,72.47
18,ECG,2.0,0.5428,1.4572,72.86
19,ECG,2.0,0.5464,1.4536,72.68
20,ECG,2.0,0.5477,1.4523,72.62
21,ECG,2.0,0.5494,1.4506,72.53
22,ECG,2.0,0.5535,1.4465,72.32
23,ECG,2.0,0.5494,1.4506,72.53
24,ECG,2.0,0.5464,1.4536,72.68
25,ECG,2.0,0.5634,1.4366,71.83
26,ECG,2.0,0.5503,1.4497,72.49
27,ECG,2.0,0.5481,1.4519,72.59
28,ECG,2.0,0.5606,1.4394,71.97
29,ECG,2.0,0.5559,1.4441,72.21
30,ECG,2.0,0.5477,1.4523,72.62
31,ECG,2.0,0.5457,1.4543,72.71
32,ECG,2.0,0.5433,1.4567,72.84
33,ECG,2.0,0.5571,1.4429,72.14
34,ECG,2.0,0.5517,1.4483,72.42
35,ECG,2.0,0.5599,1.4401,72.01
36,ECG,2.0,0.5510,1.4490,72.45
37,ECG,2.0,0.5527,1.4473,72.37
38,ECG,2.0,0.5543,1.4457,72.29
39,ECG,2.0,0.5592,1.4408,72.04
40,ECG,2.0,0.5536,1.4464,72.32
41,ECG,2.0,0.5499,1.4501,72.51
42,ECG,2.0,0.5593,1.4407,72.03
43,ECG,2.0,0.5572,1.4428,72.14
44,ECG,2.0,0.5595,1.4405,72.03
45,ECG,2.0,0.5469,1.4531,72.66
46,ECG,2.0,0.5563,1.4437,72.18
47,ECG,2.0,0.5561,1.4439,72.19
48,ECG,2.0,0.5629,1.4371,71.86
49,ECG,2.0,0.5529,1.4471,72.35
50,ECG,2.0,0.5524,1.4476,72.38
51,ECG,2.0,0.5562,1.4438,72.19
52,ECG,2.0,0.5575,1.4425,72.12
53,ECG,2.0,0.5407,1.4593,72.96
54,ECG,2.0,0.5524,1.4476,72.38
55,ECG,2.0,0.5524,1.4476,72.38
56,ECG,2.0,0.5598,1.4402,72.01
57,ECG,2.0,0.5412,1.4588,72.94
58,ECG,2.0,0.5574,1.4426,72.13
59,ECG,2.0,0.5530,1.4470,72.35
60,ECG,2.0,0.5606,1.4394,71.97
61,ECG,2.0,0.5609,1.4391,71.96
62,ECG,2.0,0.5429,1.4571,72.85
63,ECG,2.0,0.5500,1.4500,72.50
64,ECG,2.0,0.5587,1.4413,72.06
65,ECG,2.0,0.5481,1.4519,72.59
66,HR,2.0,0.5602,1.4398,71.99
67,HR,2.0,0.5493,1.4507,72.54
68,HR,2.0,0.5444,1.4556,72.78
69,HR,2.0,0.5617,1.4383,71.92
70,HR,2.0,0.5462,1.4538,72.69
71,HR,2.0,0.5558,1.4442,72.21
72,HR,2.0,0.5625,1.4375,71.88
73,HR,2.0,0.5478,1.4522,72.61
74,HR,2.0,0.5449,1.4551,72.75
75,HR,2.0,0.5441,1.4559,72.79
76,HR,2.0,0.5456,1.4544,72.72
77,HR,2.0,0.5606,1.4394,71.97
78,HR,2.0,0.5496,1.4504,72.52
