NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
116,HR,2.0,0.5508,1.4492,72.46
117,HR,2.0,0.5598,1.4402,72.01
118,HR,2.0,0.5618,1.4382,71.91
119,HR,2.0,0.5616,1.4384,71.92
120,HR,2.0,0.5411,1.4589,72.95
121,HR,2.0,0.5555,1.4445,72.23
122,HR,2.0,0.5556,1.4444,72.22
123,HR,2.0,0.5579,1.4421,72.11
124,HR,2.0,0.5566,1.4434,72.17
125,HR,2.0,0.5483,1.4517,72.58
126,HR,2.0,0.5603,1.4397,71.98
127,HR,2.0,0.5504,1.4496,72.48
128,HR,2.0,0.5603,1.4397,71.99
129,HR,2.0,0.5589,1.4411,72.06
130,HR,2.0,0.5565,1.4435,72.17
131,HR,2.0,0.5578,1.4422,72.11
132,HR,2.0,0.5619,1.4381,71.91
133,Temp,2.0,0.5577,1.4423,72.12
134,Temp,2.0,0.5431,1.4569,72.85
135,Temp,2.0,0.5554,1.4446,72.23
136,Temp,2.0,0.5535,1.4465,72.32
137,Temp,2.0,0.5411,1.4589,72.95
138,Temp,2.0,0.5536,1.4464,72.32
139,Temp,2.0,0.5423,1.4577,72.88
140,Temp,2.0,0.5588,1.4412,72.06
141,Temp,2.0,0.5495,1.4505,72.52
142,Temp,2.0,0.5602,1.4398,71.99
143,Temp,2.0,0.5551,1.4449,72.25
144,Temp,2.0,0.5463,1.4537,72.69
145,Temp,2.0,0.5576,1.4424,72.12
146,Temp,2.0,0.5632,1.4368,71.84
147,Temp,2.0,0.5637,1.4363,71.82
148,Temp,2.0,0.5481,1.4519,72.59
149,Temp,2.0,0.5411,1.4589,72.95
150,Temp,2.0,0.5617,1.4383,71.91
151,Temp,2.0,0.5558,1.4442,72.21
152,Temp,2.0,0.5615,1.4385,71.93
153,Temp,2.0,0.5587,1.4413,72.06
154,Temp,2.0,0.5464,1.4536,72.68
155,Temp,2.0,0.5411,1.4589,72.94
156,Temp,2.0,0.5595,1.4405,72.03
157,Temp,2.0,0.5562,1.4438,72.19
158,Temp,2.0,0.5570,1.4430,72.15
159,Temp,2.0,0.5464,1.4536,72.68
160,Temp,2.0,0.5637,1.4363,71.81
161,Temp,2.0,0.5443,1.4557,72.79
162,Temp,2.0,0.5507,1.4493,72.47
163,Temp,2.0,0.5525,1.4475,72.37
164,Temp,2.0,0.5467,1.4533,72.66
165,Temp,2.0,0.5472,1.4528,72.64
166,Temp,2.0,0.5501,1.4499,72.49
167,Temp,2.0,0.5416,1.4584,72.92
168,Temp,2.0,0.5519,1.4481,72.40
169,Temp,2.0,0.5408,1.4592,72.96
170,Temp,2.0,0.5443,1.4557,72.79
171,Temp,2.0,0.5593,1.4407,72.03
172,Temp,2.0,0.5551,1.4449,72.25
173,Temp,2.0,0.5527,1.4473,72.36
174,Temp,2.0,0.5505,1.4495,72.47
175,Temp,2.0,0.5578,1.4422,72.11
176,Temp,2.0,0.5579,1.4421,72.10
177,Temp,2.0,0.5543,1.4457,72.29
178,Temp,2.0,0.5595,1.4405,72.02
179,Temp,2.0,0.5419,1.4581,72.90
180,Temp,2.0,0.5552,1.4448,72.24
181,Temp,2.0,0.5452,1.4548,72.74
182,Temp,2.0,0.5632,1.4368,71.84
183,Temp,2.0,0.5541,1.4459,72.29
184,Temp,2.0,0.5415,1.4585,72.92
185,Temp,2.0,0.5441,1.4559,72.80
186,Temp,2.0,0.5467,1.4533,72.66
187,Temp,2.0,0.5581,1.4419,72.10
188,Temp,2.0,0.5486,1.4514,72.57
189,Temp,2.0,0.5475,1.4525,72.62
190,Temp,2.0,0.5489,1.4511,72.56
191,Temp,2.0,0.5595,1.4405,72.03
192,Temp,2.0,0.5553,1.4447,72.23
193,Temp,2.0,0.5566,1.4434,72.17
194,Temp,2.0,0.5478,1.4522,72.61
195,Temp,2.0,0.5608,1.4392,71.96
196,Temp,2.0,0.5418,1.4582,72.91
197,Temp,2.0,0.5600,1.4400,72.00
198,Temp,2.0,0.5491,1.4509,72.54
199,Temp,2.0,0.5586,1.4414,72.07
200,CH,5.0,1.4030,3.5970,71.94
201,CH,5.0,1.4057,3.5943,71.89
202,CH,5.0,1.3896,3.6104,72.21
203,CH,5.0,1.3965,3.6035,72.07
204,CH,5.0,1.4074,3.5926,71.85
205,CH,5.0,1.3874,3.6126,72.25
206,CH,5.0,1.4066,3.5934,71.87
207,CH,5.0,1.3875,3.6125,72.25
208,CH,5.0,1.4097,3.5903,71.81
209,CH,5.0,1.3894,3.6106,72.21
210,CH,5.0,1.3922,3.6078,72.16
211,CH,5.0,1.3932,3.6068,72.14
212,CH,5.0,1.3975,3.6025,72.05
213,CH,5.0,1.3957,3.6043,72.09
214,CH,5.0,1.3887,3.6113,72.23
215,CH,5.0,1.4028,3.5972,71.94
216,CH,5.0,1.3941,3.6059,72.12
217,CH,5.0,1.4098,3.5902,71.80
218,CH,5.0,1.4096,3.5904,71.81
219,CH,5.0,1.3891,3.6109,72.22
